recency	history_segment	history	mens	womens	zip_code	newbie	channel_phone	channel_web	segment_mens	segment_womens	visit	conversion	spend	history_norm
9	625	675.83	1	0	1	1	0	1	1	0	0	0	0.0	6.640003380277416
9	625	675.07	1	1	1	1	1	0	1	0	0	0	0.0	6.6388350918195185
2	150	101.64	0	1	3	0	0	1	1	0	1	0	0.0	4.683616573163438
5	50	29.99	1	0	2	0	1	0	1	0	0	0	0.0	3.434456884946614
9	150	112.35	1	0	1	0	0	1	1	0	0	0	0.0	4.786536004064566
11	275	219.04	1	1	2	0	1	0	1	0	0	0	0.0	5.473937013503334
5	875	828.42	1	0	2	1	1	1	1	0	0	0	0.0	6.851507366972782
11	150	182.32	1	0	2	0	1	0	1	0	0	0	0.0	5.284749700618675
2	150	118.4	1	0	2	0	0	1	1	0	1	0	0.0	4.840442716266311
6	150	139.87	0	1	1	1	0	1	1	0	0	0	0.0	5.011824916443871
12	150	115.39	0	1	2	0	1	0	1	0	1	0	0.0	4.813974318416674
6	150	162.98	0	1	2	0	0	1	1	0	0	0	0.0	5.169231223797546
9	275	334.24	1	0	3	0	0	1	1	0	0	0	0.0	5.91042418687925
6	150	128.01	0	1	3	0	0	1	1	0	0	0	0.0	4.920680431397779
9	50	29.99	1	0	2	1	1	0	1	0	0	0	0.0	3.434456884946614
1	625	514.52	0	1	2	1	0	1	1	0	0	0	0.0	6.357068905653058
4	875	766.47	1	1	3	1	1	1	1	0	0	0	0.0	6.770727519187649
7	625	520.43	0	1	2	1	0	1	1	0	0	0	0.0	6.368909260340501
11	275	236.97	1	1	3	1	1	0	1	0	0	0	0.0	5.555120126072736
3	50	99.23	1	0	1	0	0	1	1	0	1	0	0.0	4.658972893878174
1	625	729.7	1	1	2	1	0	1	1	0	0	0	0.0	6.719651736548728
9	150	185.43	1	0	3	0	0	1	1	0	0	0	0.0	5.302180471145485
7	50	29.99	0	1	3	1	1	0	1	0	0	0	0.0	3.434456884946614
9	50	78.62	1	0	3	0	0	1	1	0	0	0	0.0	4.4200594720500765
9	625	506.83	1	0	1	1	1	1	1	0	0	0	0.0	6.341458339659581
10	150	115.4	1	0	3	0	1	0	1	0	0	0	0.0	4.814063384825617
6	50	40.07	1	0	2	1	1	0	1	0	0	0	0.0	3.7302112524210855
9	150	154.15	0	1	2	0	0	1	1	0	0	0	0.0	5.11187743375931
2	275	278.8	1	0	1	0	0	1	1	0	0	0	0.0	5.722971481090301
2	425	428.74	1	0	1	0	1	0	1	0	0	0	0.0	6.168093545229721
1	625	640.58	0	1	3	1	1	0	1	0	0	0	0.0	6.584391738848142
7	275	235.14	0	1	3	1	1	0	1	0	0	0	0.0	5.547119301248169
2	50	29.99	0	1	2	0	1	0	1	0	0	0	0.0	3.434456884946614
7	275	272.32	1	0	2	1	0	1	1	0	0	0	0.0	5.698679595829731
5	425	494.26	1	1	2	1	1	0	1	0	0	0	0.0	6.315427190944368
2	875	809.07	1	0	3	1	1	0	1	0	0	0	0.0	6.826939683679704
6	425	466.29	1	0	3	1	1	1	1	0	0	0	0.0	6.255060250810739
3	150	100.85	1	0	3	1	1	0	1	0	0	0	0.0	4.675602953008791
3	1000	1397.57	1	0	2	1	1	1	1	0	0	0	0.0	7.3959769507811215
2	875	770.58	0	1	2	1	1	0	1	0	0	0	0.0	6.7762844892129985
3	150	133.51	1	0	3	0	0	1	1	0	0	0	0.0	4.9639482994272885
8	50	31.52	0	1	2	0	0	1	1	0	0	0	0.0	3.4852086694519757
11	150	146.04	0	1	2	1	1	0	1	0	0	0	0.0	5.056246125325304
9	1000	1172.42	1	1	2	1	0	1	1	0	0	0	0.0	7.212906936321966
5	275	244.34	0	1	3	1	0	1	1	0	0	0	0.0	5.586731934552361
11	50	35.43	1	0	3	1	1	0	1	0	0	0	0.0	3.604537556601901
1	150	117.27	0	1	1	0	1	0	1	0	0	0	0.0	4.8305853518201936
1	150	110.07	0	1	3	0	0	1	1	0	0	0	0.0	4.76546843454714
2	50	29.99	0	1	3	0	0	1	1	0	0	0	0.0	3.434456884946614
11	150	160.04	1	0	1	0	0	1	1	0	0	0	0.0	5.150485449776231
11	275	316.23	1	0	3	1	1	0	1	0	0	0	0.0	5.853154547704623
7	150	185.73	1	0	2	0	1	0	1	0	0	0	0.0	5.303846497738167
1	625	616.73	0	1	3	1	0	1	1	0	0	0	0.0	6.545011588812425
8	50	48.87	1	0	2	1	0	1	1	0	0	0	0.0	3.9331371770457855
9	275	228.8	1	0	2	0	1	1	1	0	1	0	0.0	5.5189137101403425
9	150	162.59	0	1	3	0	1	0	1	0	1	0	0.0	5.166763970648182
12	50	87.62	1	0	3	1	1	0	1	0	0	0	0.0	4.531242069763655
3	50	29.99	1	0	2	0	1	0	1	0	0	0	0.0	3.434456884946614
2	50	29.99	0	1	2	0	1	0	1	0	0	0	0.0	3.434456884946614
7	275	229.53	1	0	2	0	0	1	1	0	1	0	0.0	5.522200677646219
5	50	29.99	0	1	2	1	1	0	1	0	1	0	0.0	3.434456884946614
1	50	29.99	0	1	3	1	0	1	1	0	0	0	0.0	3.434456884946614
12	275	284.54	1	1	2	0	0	1	1	0	0	0	0.0	5.744024952471389
4	1000	1089.77	1	0	3	1	1	1	1	0	0	0	0.0	7.136776683053798
1	875	790.36	1	1	3	1	1	1	1	0	0	0	0.0	6.802622621882238
12	275	271.89	1	0	1	0	0	1	1	0	0	0	0.0	5.697047359840142
3	50	39.83	0	1	3	1	1	0	1	0	1	0	0.0	3.7240745064373133
5	275	269.99	1	1	2	0	1	0	1	0	0	0	0.0	5.68980429435637
9	150	116.3	1	0	1	1	0	1	1	0	1	0	0.0	4.822048100080312
7	50	39.78	0	1	2	0	0	1	1	0	0	0	0.0	3.722791391049003
1	625	720.17	1	1	3	1	1	0	1	0	0	0	0.0	6.705996259022304
4	50	69.08	0	1	3	0	1	0	1	0	0	0	0.0	4.287448338917293
10	275	307.64	0	1	3	0	1	1	1	0	0	0	0.0	5.824687031621514
7	425	481.56	1	0	2	0	0	1	1	0	0	0	0.0	6.288449623366121
5	425	425.1	1	0	1	1	1	0	1	0	0	0	0.0	6.159264021303508
8	625	575.62	1	1	3	1	1	1	1	0	0	0	0.0	6.473436621559693
7	50	29.99	1	0	2	1	0	1	1	0	0	0	0.0	3.434456884946614
8	275	336.76	0	1	2	0	1	0	1	0	0	0	0.0	5.918191769409718
4	50	52.12	1	0	3	0	1	0	1	0	0	0	0.0	3.9989958795217113
7	425	406.7	0	1	2	1	1	0	1	0	0	0	0.0	6.113448419627461
1	150	181.98	0	1	3	1	0	1	1	0	0	0	0.0	5.282826188792533
6	50	29.99	0	1	3	1	0	1	1	0	0	0	0.0	3.434456884946614
3	50	65.26	1	0	3	0	0	1	1	0	1	0	0.0	4.229164416498611
7	50	69.44	1	0	1	0	0	1	1	0	1	0	0.0	4.292774845329518
5	425	354.03	1	0	3	0	0	1	1	0	0	0	0.0	5.969918460860212
11	150	120.14	1	0	3	0	0	1	1	0	0	0	0.0	4.855439888523926
11	50	81.06	1	0	3	0	0	1	1	0	0	0	0.0	4.451405359827975
10	50	55.11	1	0	3	1	0	1	1	0	0	0	0.0	4.056074866329597
1	625	513.83	0	1	2	1	1	1	1	0	0	0	0.0	6.355677723207472
1	50	33.5	1	0	2	0	0	1	1	0	0	0	0.0	3.547368131633062
2	50	56.25	1	0	2	1	1	0	1	0	0	0	0.0	4.077030226999087
3	50	67.4	1	0	2	0	0	1	1	0	0	0	0.0	4.262220717989159
10	50	54.25	0	1	2	0	0	1	1	0	0	0	0.0	4.039979240289555
