recency	history_segment	history	mens	womens	zip_code	newbie	channel_phone	channel_web	segment_mens	segment_womens	visit	conversion	spend	history_norm
10	150	142.44	1	0	2	0	1	0	0	1	0	0	0.0	5.030559959811628
7	150	180.65	0	1	2	1	0	1	0	1	0	0	0.0	5.275267380762969
2	50	45.34	1	0	3	0	0	1	0	1	0	0	0.0	3.856477917441672
6	150	134.83	0	1	2	0	1	0	0	1	1	0	0.0	4.974068770731081
9	275	280.2	1	0	2	1	1	0	0	1	0	0	0.0	5.728145943726583
9	50	46.42	0	1	3	0	1	0	0	1	0	0	0.0	3.880544227038236
10	50	32.84	0	1	3	1	0	1	0	1	0	0	0.0	3.5270637891560255
7	625	548.91	0	1	3	1	1	0	0	1	1	0	0.0	6.424155134643979
1	275	211.45	0	1	3	1	1	0	0	1	0	0	0.0	5.437560862988546
5	625	642.9	0	1	2	1	1	1	0	1	0	0	0.0	6.588144325113916
2	275	237.53	0	1	2	0	1	0	0	1	0	0	0.0	5.557556193929183
3	50	29.99	1	0	1	0	0	1	0	1	0	0	0.0	3.434456884946614
4	275	218.72	0	1	3	0	1	1	0	1	0	0	0.0	5.472428846746399
10	50	63.79	1	0	1	1	1	0	0	1	0	0	0.0	4.205827045493648
9	275	204.18	0	1	2	0	0	1	0	1	0	0	0.0	5.401480009177629
3	150	134.59	1	0	3	1	1	0	0	1	1	0	0.0	4.972236032918844
10	50	61.09	0	1	2	0	0	1	0	1	0	0	0.0	4.161534602786235
12	50	69.08	0	1	1	0	1	0	0	1	0	0	0.0	4.287448338917293
3	150	143.93	0	1	2	0	1	0	0	1	0	0	0.0	5.041268601055851
2	50	96.91	1	0	2	0	1	0	0	1	0	0	0.0	4.63468079190201
9	50	61.57	1	0	2	1	1	0	0	1	0	0	0.0	4.16954930104741
5	275	222.07	0	1	2	0	1	0	0	1	0	0	0.0	5.488109856892454
10	1000	1009.44	1	0	2	1	1	1	0	1	0	0	0.0	7.057069661497538
10	50	31.12	1	0	3	0	1	0	0	1	0	0	0.0	3.4721807064798496
7	625	612.28	1	0	2	1	1	0	0	1	0	0	0.0	6.537496586427582
1	50	80.42	0	1	3	1	1	0	0	1	0	0	0.0	4.443275195177201
10	275	237.85	1	0	3	0	0	1	0	1	0	0	0.0	5.55894567025683
2	50	82.59	1	0	2	0	1	0	0	1	0	0	0.0	4.470585742845961
6	150	165.77	0	1	3	0	0	1	0	1	1	0	0.0	5.1867122296746455
1	50	47.44	0	1	3	0	1	0	0	1	0	0	0.0	3.902767731810868
